"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","2.61 ms (0%)","0.0 ms (0%)","2,360 ms (0.2%)","15.4 ms (0.7%)","17,606"
"com.symatiq.states.AppState.getVisibleWidgets ()","7.80 ms (0%)","0.0 ms (0%)","7.80 ms (0%)","0.0 ms (0%)","38,714"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.005 ms (0%)","0.0 ms (0%)","0.005 ms (0%)","0.0 ms (0%)","6"
"com.symatiq.states.AppState.getMetadata (String)","2.78 ms (0%)","0.0 ms (0%)","2.78 ms (0%)","0.0 ms (0%)","38,728"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","0.347 ms (0%)","0.0 ms (0%)","0.456 ms (0%)","0.0 ms (0%)","51"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.016 ms (0%)","0.0 ms (0%)","0.569 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.containsProductVersion (String)","2.29 ms (0%)","0.0 ms (0%)","2.29 ms (0%)","0.0 ms (0%)","58,048"
"com.symatiq.states.AppState.getUniqueId ()","2.64 ms (0%)","0.0 ms (0%)","2.64 ms (0%)","0.0 ms (0%)","585"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","5.96 ms (0%)","0.0 ms (0%)","8.40 ms (0%)","0.0 ms (0%)","4,979"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.002 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","4.71 ms (0%)","0.0 ms (0%)","15.8 ms (0%)","0.0 ms (0%)","4,979"
"com.symatiq.states.AppState.coveredPagesPercent (String)","0.932 ms (0%)","0.0 ms (0%)","16.7 ms (0%)","0.0 ms (0%)","4,979"
