"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","2,533 ms (0.7%)","953 ms (60%)","2,533 ms (0.3%)","953 ms (63.1%)","100"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","665 ms (0.2%)","140 ms (8.9%)","665 ms (0.1%)","140 ms (9.3%)","27"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","114 ms (0%)","133 ms (8.4%)","2,144 ms (0.2%)","0.0 ms (0%)","1,664,431"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","566 ms (0.2%)","52.9 ms (3.3%)","2,030 ms (0.2%)","11.8 ms (0.8%)","821,797"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","66.2 ms (0%)","31.0 ms (2%)","66.2 ms (0%)","31.0 ms (2.1%)","2,210"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","327 ms (0.1%)","30.3 ms (1.9%)","327 ms (0%)","30.3 ms (2%)","24,793"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","4.18 ms (0%)","29.4 ms (1.9%)","11.5 ms (0%)","25.8 ms (1.7%)","53,570"
"com.symatiq.states.StateController.getRecommendedWidget ()","289 ms (0.1%)","25.0 ms (1.6%)","289 ms (0%)","25.0 ms (1.7%)","15,033,665"
"com.symatiq.widgets.Widget.getArea ()","106 ms (0%)","19.5 ms (1.2%)","106 ms (0%)","19.5 ms (1.3%)","5,185,836"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","117 ms (0%)","16.5 ms (1%)","3,808 ms (0.4%)","0.0 ms (0%)","57,585"
"org.openqa.selenium.OutputType$2.convertFromBase64Png (String)","11.4 ms (0%)","15.6 ms (1%)","11.4 ms (0%)","15.6 ms (1%)","27"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","5.61 ms (0%)","15.0 ms (0.9%)","5.61 ms (0%)","15.0 ms (1%)","5,235"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","10.8 ms (0%)","14.5 ms (0.9%)","28.9 ms (0%)","11.8 ms (0.8%)","59,460"
"com.symatiq.Scout.getMouseX ()","56.6 ms (0%)","14.5 ms (0.9%)","58.0 ms (0%)","13.9 ms (0.9%)","5,258"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","2.4 ms (0%)","14.5 ms (0.9%)","16.2 ms (0%)","0.0 ms (0%)","5,517"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","467 ms (0.1%)","14.5 ms (0.9%)","467 ms (0.1%)","14.5 ms (1%)","10,532"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","332 ms (0.1%)","14.2 ms (0.9%)","336 ms (0%)","4.65 ms (0.3%)","2,690"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","2.55 ms (0%)","13.8 ms (0.9%)","2,075 ms (0.2%)","0.0 ms (0%)","15,940"
"org.openqa.selenium.json.Input.fill ()","368 ms (0.1%)","12.9 ms (0.8%)","368 ms (0%)","12.9 ms (0.9%)","20,378,823"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","27.3 ms (0%)","11.6 ms (0.7%)","27.3 ms (0%)","11.6 ms (0.8%)","1,270,249"
