"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getStateCount ()","0.007 ms (0%)","0.0 ms (0%)","0.022 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getCurrentPath ()","0.014 ms (0%)","0.0 ms (0%)","0.014 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.getAllWidgets ()","8.83 ms (0%)","0.0 ms (0%)","8.83 ms (0%)","0.0 ms (0%)","14,245"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","2.72 ms (0%)","0.0 ms (0%)","15.5 ms (0%)","0.0 ms (0%)","4,751"
"com.symatiq.states.AppState.coveredPercent (String)","1.1 ms (0%)","0.0 ms (0%)","16.5 ms (0%)","0.0 ms (0%)","4,751"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.200 ms (0%)","0.0 ms (0%)","0.200 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.getVisibleActions ()","29.1 ms (0%)","0.0 ms (0%)","29.1 ms (0%)","0.0 ms (0%)","123,762"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.011 ms (0%)","0.0 ms (0%)","0.014 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","14.3 ms (0%)","0.0 ms (0%)","36.9 ms (0%)","0.0 ms (0%)","88,632"
"com.symatiq.states.AppState.getLeafCount ()","2.46 ms (0%)","0.0 ms (0%)","39.4 ms (0%)","0.0 ms (0%)","25,626"
"com.symatiq.states.AppState.isHome ()","4.15 ms (0%)","0.0 ms (0%)","4.15 ms (0%)","0.0 ms (0%)","120,674"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.188 ms (0%)","0.0 ms (0%)","0.675 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","13.0 ms (0%)","0.0 ms (0%)","25.5 ms (0%)","0.0 ms (0%)","50,554"
"com.symatiq.states.AppState.getIssues ()","4.33 ms (0%)","0.0 ms (0%)","4.33 ms (0%)","0.0 ms (0%)","25,771"
"com.symatiq.states.AppState.containIssues ()","1.89 ms (0%)","0.0 ms (0%)","6.23 ms (0%)","0.0 ms (0%)","25,771"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.096 ms (0%)","0.0 ms (0%)","0.096 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.015 ms (0%)","0.0 ms (0%)","0.654 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","0.380 ms (0%)","0.0 ms (0%)","0.541 ms (0%)","0.0 ms (0%)","51"
"com.symatiq.states.AppState.getVisibleWidgets ()","10.9 ms (0%)","0.0 ms (0%)","10.9 ms (0%)","0.0 ms (0%)","50,570"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","6"
"com.symatiq.states.AppState.getMetadata (String)","3.6 ms (0%)","0.0 ms (0%)","3.6 ms (0%)","0.0 ms (0%)","50,584"
"com.symatiq.states.AppState.containsProductVersion (String)","2.96 ms (0%)","0.0 ms (0%)","2.96 ms (0%)","0.0 ms (0%)","80,932"
"com.symatiq.states.AppState.getUniqueId ()","3.10 ms (0%)","0.0 ms (0%)","3.10 ms (0%)","0.0 ms (0%)","561"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","5.28 ms (0%)","0.0 ms (0%)","7.35 ms (0%)","0.0 ms (0%)","4,751"
"com.symatiq.states.AppState.coveredPagesPercent (String)","0.920 ms (0%)","0.0 ms (0%)","22.9 ms (0%)","0.0 ms (0%)","4,751"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","6.15 ms (0%)","0.0 ms (0%)","21.9 ms (0%)","0.0 ms (0%)","4,751"
