"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,381 ms (0.4%)","843 ms (55.7%)","1,381 ms (0.1%)","843 ms (40%)","56"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","379 ms (0.1%)","156 ms (10.3%)","379 ms (0%)","156 ms (7.4%)","15"
"com.symatiq.states.StateController.getRecommendedWidget ()","206 ms (0.1%)","93.8 ms (6.2%)","206 ms (0%)","93.8 ms (4.4%)","9,852,708"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","213 ms (0.1%)","46.3 ms (3.1%)","213 ms (0%)","46.3 ms (2.2%)","4,978"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","3.58 ms (0%)","44.2 ms (2.9%)","863 ms (0.1%)","30.5 ms (1.4%)","15,188"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","455 ms (0.1%)","42.4 ms (2.8%)","2,686 ms (0.2%)","0.0 ms (0%)","2,488"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","65.6 ms (0%)","41.9 ms (2.8%)","1,376 ms (0.1%)","0.0 ms (0%)","931,424"
"com.symatiq.widgets.Widget.compareTo (Object)","669 ms (0.2%)","37.6 ms (2.5%)","925 ms (0.1%)","51.6 ms (2.4%)","9,852,708"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","367 ms (0.1%)","35.5 ms (2.4%)","1,310 ms (0.1%)","35.3 ms (1.7%)","460,763"
"com.symatiq.widgets.Widget.getArea ()","49.8 ms (0%)","35.3 ms (2.3%)","49.8 ms (0%)","35.3 ms (1.7%)","2,303,714"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","62.5 ms (0%)","24.2 ms (1.6%)","2,161 ms (0.2%)","0.0 ms (0%)","27,379"
"io.appium.java_client.remote.options.BaseOptions.asMap ()","1.69 ms (0%)","15.6 ms (1%)","1.70 ms (0%)","15.6 ms (0.7%)","20"
"org.openqa.selenium.internal.Require.nonNull (String, Object)","0.428 ms (0%)","15.6 ms (1%)","0.428 ms (0%)","15.6 ms (0.7%)","25,522"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","4.13 ms (0%)","15.6 ms (1%)","12.7 ms (0%)","27.3 ms (1.3%)","52,998"
"plugin.StateGraph.drawText (java.awt.Graphics2D, String, int, int)","20.0 ms (0%)","15.3 ms (1%)","20.0 ms (0%)","15.3 ms (0.7%)","2,489"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","3.26 ms (0%)","14.9 ms (1%)","7.1 ms (0%)","12.8 ms (0.6%)","9,664"
"org.openqa.selenium.json.Input.peek ()","6.59 ms (0%)","13.8 ms (0.9%)","10.4 ms (0%)","13.0 ms (0.6%)","155,684"
"com.symatiq.states.StateController.getWidgetsAt (com.symatiq.states.AppState, int, int)","10.9 ms (0%)","13.7 ms (0.9%)","1,405 ms (0.1%)","0.0 ms (0%)","7,409"
"org.openqa.selenium.json.Input.fill ()","156 ms (0%)","7.36 ms (0.5%)","156 ms (0%)","7.36 ms (0.3%)","8,524,855"
