"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getVisibleWidgets ()","6.13 ms (0%)","0.0 ms (0%)","6.13 ms (0%)","0.0 ms (0%)","28,793"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","10"
"com.symatiq.states.AppState.getMetadata (String)","1.89 ms (0%)","0.0 ms (0%)","1.89 ms (0%)","0.0 ms (0%)","28,802"
"com.symatiq.states.AppState.getUniqueId ()","1.39 ms (0%)","0.0 ms (0%)","1.39 ms (0%)","0.0 ms (0%)","207"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","3.80 ms (0%)","0.0 ms (0%)","5.48 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","2.67 ms (0%)","0.0 ms (0%)","2.67 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","3.51 ms (0%)","0.0 ms (0%)","11.1 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.coveredPagesPercent (String)","0.704 ms (0%)","0.0 ms (0%)","11.8 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.003 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.020 ms (0%)","0.0 ms (0%)","0.413 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.states.AppState.addProductVersion (String)","0.001 ms (0%)","0.0 ms (0%)","0.006 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.014 ms (0%)","0.0 ms (0%)","0.014 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.208 ms (0%)","0.0 ms (0%)","0.208 ms (0%)","0.0 ms (0%)","1,030"
"com.symatiq.states.AppState.getStateCount ()","0.010 ms (0%)","0.0 ms (0%)","0.041 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.states.AppState.getCurrentPath ()","0.011 ms (0%)","0.0 ms (0%)","0.011 ms (0%)","0.0 ms (0%)","9"
