"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","989 ms (0.4%)","406 ms (33.3%)","989 ms (0.3%)","406 ms (30.5%)","104"
"com.symatiq.widgets.Widget.compareTo (Object)","1,100 ms (0.5%)","172 ms (14.1%)","1,484 ms (0.4%)","143 ms (10.8%)","18,599,369"
"com.symatiq.states.StateController.getRecommendedWidget ()","373 ms (0.2%)","112 ms (9.2%)","373 ms (0.1%)","112 ms (8.5%)","18,599,369"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","78.9 ms (0%)","84.8 ms (6.9%)","2,249 ms (0.6%)","0.0 ms (0%)","1,149,980"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","664 ms (0.3%)","84.1 ms (6.9%)","2,169 ms (0.6%)","106 ms (8%)","571,480"
"plugin.SeleniumPlugin.getSeleniumCapture ()","194 ms (0.1%)","31.2 ms (2.6%)","2,970 ms (0.8%)","0.0 ms (0%)","53"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","5,289 ms (2.3%)","31.1 ms (2.6%)","5,328 ms (1.4%)","44.5 ms (3.3%)","681"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","184 ms (0.1%)","30.8 ms (2.5%)","184 ms (0%)","30.8 ms (2.3%)","3,511"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","19.0 ms (0%)","29.6 ms (2.4%)","19.0 ms (0%)","29.6 ms (2.2%)","830,668"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.getRawUri (org.openqa.selenium.remote.http.HttpRequest)","4.45 ms (0%)","15.6 ms (1.3%)","4.45 ms (0%)","15.6 ms (1.2%)","681"
"com.symatiq.Scout.updateTitle ()","26.6 ms (0%)","15.6 ms (1.3%)","26.7 ms (0%)","15.5 ms (1.2%)","60"
"com.symatiq.widgets.Widget.getArea ()","10.2 ms (0%)","15.5 ms (1.3%)","10.2 ms (0%)","15.5 ms (1.2%)","491,876"
"org.openqa.selenium.json.JsonInput.readString ()","667 ms (0.3%)","15.4 ms (1.3%)","1,940 ms (0.5%)","24.0 ms (1.8%)","1,647"
"plugin.StateGraph.drawLine (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke)","10.0 ms (0%)","15.4 ms (1.3%)","10.0 ms (0%)","15.4 ms (1.2%)","12,272"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","10.4 ms (0%)","15.3 ms (1.3%)","46.1 ms (0%)","8.49 ms (0.6%)","63,649"
"com.symatiq.states.StateController.isOngoingSession ()","0.958 ms (0%)","15.2 ms (1.2%)","1.22 ms (0%)","15.0 ms (1.1%)","7,330"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","137 ms (0.1%)","15.2 ms (1.2%)","139 ms (0%)","12.1 ms (0.9%)","816"
"com.symatiq.actions.Action.putMetadata (String, Object)","8.11 ms (0%)","14.7 ms (1.2%)","8.11 ms (0%)","14.7 ms (1.1%)","226,200"
"com.symatiq.states.StateController.getWidgetsAt (com.symatiq.states.AppState, int, int)","11.0 ms (0%)","14.6 ms (1.2%)","2,267 ms (0.6%)","0.0 ms (0%)","5,213"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.10 ms (0%)","14.5 ms (1.2%)","4.15 ms (0%)","11.1 ms (0.8%)","3,189"
"com.symatiq.actions.Action.getMetadata (String)","10.6 ms (0%)","14.0 ms (1.2%)","10.6 ms (0%)","14.0 ms (1.1%)","290,293"
"org.openqa.selenium.json.Input.read ()","898 ms (0.4%)","12.3 ms (1%)","1,219 ms (0.3%)","10.7 ms (0.8%)","17,296,854"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","6.58 ms (0%)","12.3 ms (1%)","22.0 ms (0%)","0.892 ms (0.1%)","1,755"
"com.symatiq.extension.PluginController.isPluginEnabled (String)","5.66 ms (0%)","11.6 ms (1%)","7.99 ms (0%)","9.61 ms (0.7%)","20,396"
