"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.279 ms (0%)","0.0 ms (0%)","6,867 ms (1.9%)","0.0 ms (0%)","53"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.444 ms (0%)","0.0 ms (0%)","2.92 ms (0%)","0.0 ms (0%)","53"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.006 ms (0%)","0.0 ms (0%)","0.269 ms (0%)","0.0 ms (0%)","13"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","4"
"plugin.SeleniumPlugin.getAvailableWidgets ()","66.3 ms (0%)","0.0 ms (0%)","4,545 ms (1.2%)","0.0 ms (0%)","53"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.010 ms (0%)","0.0 ms (0%)","84.1 ms (0%)","0.0 ms (0%)","17"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","1.26 ms (0%)","0.0 ms (0%)","490 ms (0.1%)","0.0 ms (0%)","4"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","7.66 ms (0%)","0.0 ms (0%)","14.8 ms (0%)","0.0 ms (0%)","59,118"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","2.67 ms (0%)","0.0 ms (0%)","2.67 ms (0%)","0.0 ms (0%)","70,163"
"plugin.SeleniumPlugin.isValidText (String)","2.91 ms (0%)","0.0 ms (0%)","2.91 ms (0%)","0.0 ms (0%)","70,869"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","48.4 ms (0%)","0.0 ms (0%)","48.4 ms (0%)","0.0 ms (0%)","1,887,559"
"plugin.SeleniumPlugin.object2String (Object)","13.2 ms (0%)","0.0 ms (0%)","13.2 ms (0%)","0.0 ms (0%)","462,383"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","1.48 ms (0%)","0.0 ms (0%)","3.49 ms (0%)","0.0 ms (0%)","3,197"
"plugin.SeleniumPlugin.object2Long (Object)","3.24 ms (0%)","0.0 ms (0%)","3.24 ms (0%)","0.0 ms (0%)","108,796"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.465 ms (0%)","0.0 ms (0%)","0.506 ms (0%)","0.0 ms (0%)","52"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","75.2 ms (0%)","0.0 ms (0%)","237 ms (0.1%)","0.0 ms (0%)","9,231"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","8.34 ms (0%)","0.0 ms (0%)","9.20 ms (0%)","0.0 ms (0%)","9,231"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.045 ms (0%)","0.0 ms (0%)","84.1 ms (0%)","0.0 ms (0%)","17"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.120 ms (0%)","0.0 ms (0%)","0.737 ms (0%)","0.0 ms (0%)","238"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.074 ms (0%)","0.0 ms (0%)","2.67 ms (0%)","0.0 ms (0%)","74"
"org.openqa.selenium.json.CollectionCoercer.test (Class)","0.002 ms (0%)","0.0 ms (0%)","0.002 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.apply (java.lang.reflect.Type)","0.215 ms (0%)","0.0 ms (0%)","0.215 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.046 ms (0%)","0.0 ms (0%)","6.49 ms (0%)","0.0 ms (0%)","221"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.446 ms (0%)","0.0 ms (0%)","7.15 ms (0%)","0.0 ms (0%)","13"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.133 ms (0%)","0.0 ms (0%)","0.495 ms (0%)","0.0 ms (0%)","415"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.922 ms (0%)","0.0 ms (0%)","4.5 ms (0%)","12.0 ms (0.5%)","8,110"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$0 (Number)","0.140 ms (0%)","0.0 ms (0%)","0.140 ms (0%)","0.0 ms (0%)","106"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.711 ms (0%)","0.0 ms (0%)","0.711 ms (0%)","0.0 ms (0%)","952"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$7 (java.util.function.BiFunction)","0.078 ms (0%)","0.0 ms (0%)","0.078 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","1.98 ms (0%)","0.0 ms (0%)","1,772 ms (0.5%)","4.96 ms (0.2%)","4,228"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$4 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.038 ms (0%)","0.0 ms (0%)","0.116 ms (0%)","0.0 ms (0%)","16"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$5 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.003 ms (0%)","0.0 ms (0%)","0.219 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","2.53 ms (0%)","0.0 ms (0%)","1,774 ms (0.5%)","4.87 ms (0.2%)","4,228"
"org.openqa.selenium.json.JsonTypeCoercer.buildCoercer (java.lang.reflect.Type)","0.518 ms (0%)","0.0 ms (0%)","0.933 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","1.76 ms (0%)","0.0 ms (0%)","2.23 ms (0%)","0.0 ms (0%)","101"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.020 ms (0%)","0.0 ms (0%)","2.36 ms (0%)","0.0 ms (0%)","17"
"com.symatiq.states.AppState.getMetadata (String)","2.0 ms (0%)","0.0 ms (0%)","2.0 ms (0%)","0.0 ms (0%)","19,325"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.047 ms (0%)","0.0 ms (0%)","0.047 ms (0%)","0.0 ms (0%)","78"
"com.symatiq.states.AppState.containsProductVersion (String)","1.18 ms (0%)","0.0 ms (0%)","1.18 ms (0%)","0.0 ms (0%)","28,897"
