"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","4"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","8.8 ms (0%)","0.0 ms (0%)","15.8 ms (0%)","0.0 ms (0%)","63,391"
"plugin.SeleniumPlugin.object2String (Object)","12.5 ms (0%)","0.0 ms (0%)","12.5 ms (0%)","0.0 ms (0%)","495,567"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.29 ms (0%)","0.0 ms (0%)","4.48 ms (0%)","0.0 ms (0%)","3,477"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","2.68 ms (0%)","0.0 ms (0%)","2.68 ms (0%)","0.0 ms (0%)","75,183"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","47.4 ms (0%)","0.0 ms (0%)","47.4 ms (0%)","0.0 ms (0%)","1,963,040"
"plugin.SeleniumPlugin.isValidText (String)","3.12 ms (0%)","0.0 ms (0%)","3.12 ms (0%)","0.0 ms (0%)","76,001"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.045 ms (0%)","0.0 ms (0%)","97.4 ms (0%)","13.1 ms (0.8%)","15"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","78.2 ms (0%)","0.0 ms (0%)","242 ms (0.1%)","0.0 ms (0%)","9,946"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.520 ms (0%)","0.0 ms (0%)","0.569 ms (0%)","0.0 ms (0%)","58"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","8.65 ms (0%)","0.0 ms (0%)","9.60 ms (0%)","0.0 ms (0%)","9,945"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.160 ms (0%)","0.0 ms (0%)","0.725 ms (0%)","0.0 ms (0%)","202"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.074 ms (0%)","0.0 ms (0%)","12.1 ms (0%)","0.0 ms (0%)","74"
"org.openqa.selenium.json.CollectionCoercer.test (Class)","0.002 ms (0%)","0.0 ms (0%)","0.002 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.apply (java.lang.reflect.Type)","0.143 ms (0%)","0.0 ms (0%)","0.143 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.028 ms (0%)","0.0 ms (0%)","5.3 ms (0%)","0.0 ms (0%)","187"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.374 ms (0%)","0.0 ms (0%)","5.59 ms (0%)","0.0 ms (0%)","11"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.170 ms (0%)","0.0 ms (0%)","0.556 ms (0%)","0.0 ms (0%)","394"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.915 ms (0%)","0.0 ms (0%)","4.58 ms (0%)","0.0 ms (0%)","8,766"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$0 (Number)","0.134 ms (0%)","0.0 ms (0%)","0.134 ms (0%)","0.0 ms (0%)","116"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","2.28 ms (0%)","0.0 ms (0%)","1,974 ms (0.5%)","0.0 ms (0%)","3,808"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.731 ms (0%)","0.0 ms (0%)","0.731 ms (0%)","0.0 ms (0%)","863"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","1.89 ms (0%)","0.0 ms (0%)","1,973 ms (0.5%)","0.0 ms (0%)","3,808"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$5 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.003 ms (0%)","0.0 ms (0%)","0.146 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$7 (java.util.function.BiFunction)","0.075 ms (0%)","0.0 ms (0%)","0.075 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$4 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.028 ms (0%)","0.0 ms (0%)","0.072 ms (0%)","0.0 ms (0%)","16"
"org.openqa.selenium.json.JsonTypeCoercer.buildCoercer (java.lang.reflect.Type)","0.426 ms (0%)","0.0 ms (0%)","0.720 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","1.97 ms (0%)","0.0 ms (0%)","2.47 ms (0%)","0.0 ms (0%)","101"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.026 ms (0%)","0.0 ms (0%)","2.62 ms (0%)","0.0 ms (0%)","17"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.055 ms (0%)","0.0 ms (0%)","0.055 ms (0%)","0.0 ms (0%)","84"
"com.symatiq.states.AppState.getMetadata (String)","1.94 ms (0%)","0.0 ms (0%)","1.94 ms (0%)","0.0 ms (0%)","20,767"
