"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.widgets.Widget.compareTo (Object)","1,375 ms (0.8%)","381 ms (25.8%)","1,806 ms (0.6%)","305 ms (20.2%)","22,999,450"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","844 ms (0.5%)","361 ms (24.5%)","2,661 ms (0.9%)","303 ms (20%)","295,252"
"com.symatiq.Scout$2.getPreferredSize ()","557 ms (0.3%)","328 ms (22.2%)","557 ms (0.2%)","328 ms (21.7%)","62"
"com.symatiq.states.StateController.getRecommendedWidget ()","405 ms (0.2%)","244 ms (16.5%)","405 ms (0.1%)","244 ms (16.1%)","22,999,450"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","93.3 ms (0.1%)","31.0 ms (2.1%)","93.3 ms (0%)","31.0 ms (2%)","1,889"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","41.8 ms (0%)","30.5 ms (2.1%)","2,704 ms (0.9%)","0.0 ms (0%)","594,078"
"com.symatiq.widgets.Widget.getArea ()","23.9 ms (0%)","25.4 ms (1.7%)","23.9 ms (0%)","25.4 ms (1.7%)","1,330,936"
"plugin.SeleniumPlugin.getSeleniumCapture ()","129 ms (0.1%)","15.6 ms (1.1%)","1,794 ms (0.6%)","0.0 ms (0%)","32"
"org.openqa.selenium.logging.profiler.HttpProfilerLogEntry.constructMessage (org.openqa.selenium.logging.profiler.EventType, String, boolean)","1.66 ms (0%)","15.6 ms (1.1%)","1.66 ms (0%)","15.6 ms (1%)","272"
"org.openqa.selenium.json.MapCoercer.lambda$apply$1 (java.lang.reflect.Type, java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","2.2 ms (0%)","15.5 ms (1.1%)","1,964 ms (0.7%)","13.2 ms (0.9%)","140"
"com.symatiq.actions.Action.getMetadata (String)","19.8 ms (0%)","13.7 ms (0.9%)","19.8 ms (0%)","13.7 ms (0.9%)","528,844"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","34.3 ms (0%)","12.4 ms (0.8%)","36.3 ms (0%)","10.8 ms (0.7%)","15,455"
"plugin.SeleniumPlugin.object2Long (Object)","3.68 ms (0%)","1.14 ms (0.1%)","3.68 ms (0%)","1.14 ms (0.1%)","139,560"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.453 ms (0%)","0.0 ms (0%)","389 ms (0.1%)","0.0 ms (0%)","13"
"plugin.SeleniumPlugin.getCapture ()","0.161 ms (0%)","0.0 ms (0%)","6,407 ms (2.2%)","0.0 ms (0%)","32"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","398 ms (0.2%)","0.0 ms (0%)","1,185 ms (0.4%)","0.0 ms (0%)","15,456"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","1.14 ms (0%)","0.0 ms (0%)","1.17 ms (0%)","0.0 ms (0%)","32"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","10.0 ms (0%)","0.0 ms (0%)","10.0 ms (0%)","0.0 ms (0%)","250,419"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.14 ms (0%)","0.0 ms (0%)","5.86 ms (0%)","0.0 ms (0%)","7,043"
"plugin.SeleniumPlugin.getKeyText (char)","0.035 ms (0%)","0.0 ms (0%)","0.035 ms (0%)","0.0 ms (0%)","9"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","2.9 ms (0%)","0.0 ms (0%)","2.9 ms (0%)","0.0 ms (0%)","2,999"
"plugin.SeleniumPlugin.changeState ()","0.007 ms (0%)","0.0 ms (0%)","0.013 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","478 ms (0.3%)","0.0 ms (0%)","720 ms (0.2%)","0.0 ms (0%)","9,338,857"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.012 ms (0%)","0.0 ms (0%)","2.49 ms (0%)","0.0 ms (0%)","8"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.004 ms (0%)","0.0 ms (0%)","25.0 ms (0%)","0.0 ms (0%)","4"
