"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","1,039 ms (0.5%)","383 ms (23.7%)","3,306 ms (1%)","232 ms (16.4%)","365,387"
"com.symatiq.widgets.Widget.compareTo (Object)","1,713 ms (0.9%)","348 ms (21.5%)","2,254 ms (0.7%)","258 ms (18.2%)","28,708,700"
"com.symatiq.Scout$2.getPreferredSize ()","648 ms (0.3%)","281 ms (17.4%)","648 ms (0.2%)","281 ms (19.8%)","74"
"com.symatiq.states.StateController.getRecommendedWidget ()","512 ms (0.3%)","260 ms (16.1%)","512 ms (0.1%)","260 ms (18.3%)","28,708,700"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","51.6 ms (0%)","76.1 ms (4.7%)","3,359 ms (1%)","0.0 ms (0%)","734,092"
"org.openqa.selenium.OutputType$3.save (byte[])","25.5 ms (0%)","46.8 ms (2.9%)","25.5 ms (0%)","46.8 ms (3.3%)","37"
"com.symatiq.states.Neighbor.compareTo (Object)","7.46 ms (0%)","33.2 ms (2.1%)","10.4 ms (0%)","18.6 ms (1.3%)","140,766"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","92.1 ms (0%)","31.0 ms (1.9%)","92.1 ms (0%)","31.0 ms (2.2%)","1,777"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.742 ms (0%)","15.6 ms (1%)","303 ms (0.1%)","15.3 ms (1.1%)","2"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","0.798 ms (0%)","15.6 ms (1%)","326 ms (0.1%)","8.85 ms (0.6%)","62"
"plugin.SeleniumPlugin.getSeleniumCapture ()","148 ms (0.1%)","15.6 ms (1%)","1,910 ms (0.6%)","0.0 ms (0%)","37"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","6.97 ms (0%)","15.6 ms (1%)","6.97 ms (0%)","15.6 ms (1.1%)","167"
"org.openqa.selenium.remote.http.Contents.bytes (org.openqa.selenium.remote.http.Contents.Supplier)","3.47 ms (0%)","15.6 ms (1%)","3.60 ms (0%)","15.5 ms (1.1%)","152"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","5.51 ms (0%)","15.6 ms (1%)","2,551 ms (0.7%)","0.0 ms (0%)","152"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","11.5 ms (0%)","15.5 ms (1%)","11.5 ms (0%)","15.5 ms (1.1%)","578,752"
"com.symatiq.actions.Action.clone (com.symatiq.actions.Action)","3.20 ms (0%)","13.4 ms (0.8%)","4.74 ms (0%)","11.9 ms (0.8%)","14,697"
"plugin.WidgetIdentifier.isCheckWidget (com.symatiq.widgets.Widget)","2.3 ms (0%)","12.6 ms (0.8%)","2.65 ms (0%)","10.8 ms (0.8%)","10,914"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","36.3 ms (0%)","12.0 ms (0.7%)","38.3 ms (0%)","10.2 ms (0.7%)","17,125"
"org.json.simple.JSONObject.<init> ()","0.844 ms (0%)","11.1 ms (0.7%)","0.844 ms (0%)","11.1 ms (0.8%)","43,161"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","521 ms (0.3%)","0.0 ms (0%)","768 ms (0.2%)","0.0 ms (0%)","9,941,882"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.505 ms (0%)","0.0 ms (0%)","325 ms (0.1%)","4.24 ms (0.3%)","12"
"plugin.SeleniumPlugin.getKeyText (char)","0.035 ms (0%)","0.0 ms (0%)","0.035 ms (0%)","0.0 ms (0%)","9"
"plugin.SeleniumPlugin.getCapture ()","0.181 ms (0%)","0.0 ms (0%)","7,501 ms (2.2%)","0.0 ms (0%)","37"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","2.54 ms (0%)","0.0 ms (0%)","2.54 ms (0%)","0.0 ms (0%)","4,784"
"plugin.SeleniumPlugin.changeState ()","0.004 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.208 ms (0%)","0.0 ms (0%)","7,240 ms (2.1%)","0.0 ms (0%)","37"
"plugin.SeleniumPlugin.loadCookiesForCurrentState ()","0.002 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.005 ms (0%)","0.0 ms (0%)","0.402 ms (0%)","0.0 ms (0%)","14"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.getAvailableWidgets ()","102 ms (0.1%)","0.0 ms (0%)","5,321 ms (1.6%)","0.0 ms (0%)","37"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.595 ms (0%)","0.0 ms (0%)","6.53 ms (0%)","0.0 ms (0%)","37"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.009 ms (0%)","0.0 ms (0%)","2.44 ms (0%)","0.0 ms (0%)","8"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.016 ms (0%)","0.0 ms (0%)","13.7 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","18.5 ms (0%)","0.0 ms (0%)","34.1 ms (0%)","0.0 ms (0%)","134,721"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","1.23 ms (0%)","0.0 ms (0%)","1.27 ms (0%)","0.0 ms (0%)","37"
"plugin.SeleniumPlugin.object2String (Object)","17.5 ms (0%)","0.0 ms (0%)","17.5 ms (0%)","0.0 ms (0%)","713,405"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","9.2 ms (0%)","0.0 ms (0%)","9.2 ms (0%)","0.0 ms (0%)","243,510"
"plugin.SeleniumPlugin.isValidText (String)","5.63 ms (0%)","0.0 ms (0%)","5.63 ms (0%)","0.0 ms (0%)","151,964"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.017 ms (0%)","0.0 ms (0%)","13.7 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.object2Long (Object)","4.24 ms (0%)","0.0 ms (0%)","4.24 ms (0%)","0.0 ms (0%)","167,860"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","247 ms (0.1%)","0.0 ms (0%)","247 ms (0.1%)","0.0 ms (0%)","9,941,882"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","407 ms (0.2%)","0.0 ms (0%)","1,236 ms (0.4%)","0.0 ms (0%)","17,125"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","4.43 ms (0%)","0.0 ms (0%)","8.21 ms (0%)","0.0 ms (0%)","7,576"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.012 ms (0%)","0.0 ms (0%)","0.179 ms (0%)","0.0 ms (0%)","2"
