"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,563 ms (0.7%)","640 ms (44.1%)","1,563 ms (0.2%)","640 ms (25%)","56"
"com.symatiq.widgets.Widget.compareTo (Object)","209 ms (0.1%)","87.6 ms (6%)","294 ms (0%)","122 ms (4.8%)","2,794,514"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","205 ms (0.1%)","109 ms (7.5%)","205 ms (0%)","109 ms (4.3%)","9"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","114 ms (0.1%)","58.8 ms (4.1%)","415 ms (0%)","99.3 ms (3.9%)","173,466"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","203 ms (0.1%)","93.3 ms (6.4%)","205 ms (0%)","90.3 ms (3.5%)","798"
"com.symatiq.states.StateController.getRecommendedWidget ()","60.2 ms (0%)","79.7 ms (5.5%)","60.2 ms (0%)","79.7 ms (3.1%)","2,794,514"
"org.openqa.selenium.remote.HttpCommandExecutor.execute (org.openqa.selenium.remote.Command)","4.93 ms (0%)","0.0 ms (0%)","89,471 ms (9.5%)","64.1 ms (2.5%)","1,072"
"org.openqa.selenium.remote.RemoteWebDriver.execute (org.openqa.selenium.remote.CommandPayload)","12.9 ms (0%)","0.0 ms (0%)","89,491 ms (9.5%)","63.9 ms (2.5%)","1,072"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","152 ms (0.1%)","46.5 ms (3.2%)","152 ms (0%)","46.5 ms (1.8%)","3,230"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","5.63 ms (0%)","0.0 ms (0%)","463 ms (0%)","41.6 ms (1.6%)","1,072"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.312 ms (0%)","0.0 ms (0%)","464 ms (0%)","41.6 ms (1.6%)","1,072"
"org.openqa.selenium.remote.RemoteWebElement.execute (org.openqa.selenium.remote.CommandPayload)","0.379 ms (0%)","0.0 ms (0%)","86,920 ms (9.2%)","40.5 ms (1.6%)","1,027"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","8.36 ms (0%)","0.0 ms (0%)","86,938 ms (9.2%)","38.2 ms (1.5%)","66"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.encode (org.openqa.selenium.remote.Command)","2.63 ms (0%)","0.0 ms (0%)","23.6 ms (0%)","30.9 ms (1.2%)","1,072"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.encode (org.openqa.selenium.remote.Command)","0.245 ms (0%)","0.0 ms (0%)","23.9 ms (0%)","30.9 ms (1.2%)","1,072"
"com.symatiq.widgets.Widget.getArea ()","24.4 ms (0%)","27.4 ms (1.9%)","24.4 ms (0%)","27.4 ms (1.1%)","1,162,750"
"org.openqa.selenium.json.MapCoercer.lambda$apply$1 (java.lang.reflect.Type, java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","10.0 ms (0%)","0.0 ms (0%)","415 ms (0%)","27.1 ms (1.1%)","1,593"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","3.22 ms (0%)","0.0 ms (0%)","418 ms (0%)","27.1 ms (1.1%)","10,034"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","3.42 ms (0%)","0.0 ms (0%)","420 ms (0%)","27.1 ms (1.1%)","10,034"
"org.openqa.selenium.json.Json.toType (java.io.Reader, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","0.920 ms (0%)","0.0 ms (0%)","424 ms (0%)","27.1 ms (1.1%)","1,072"
"org.openqa.selenium.json.Json.toType (String, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","0.721 ms (0%)","0.0 ms (0%)","424 ms (0%)","27.1 ms (1.1%)","1,072"
"org.openqa.selenium.json.Json.toType (String, java.lang.reflect.Type)","0.275 ms (0%)","0.0 ms (0%)","425 ms (0%)","27.1 ms (1.1%)","1,072"
"org.openqa.selenium.remote.RemoteWebElement.getAttribute (String)","0.933 ms (0%)","0.0 ms (0%)","74,188 ms (7.8%)","27.0 ms (1.1%)","882"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","5.78 ms (0%)","13.6 ms (0.9%)","91.7 ms (0%)","24.2 ms (0.9%)","2,914"
"plugin.AppiumPlugin.hasSourceChanged ()","0.124 ms (0%)","0.0 ms (0%)","639 ms (0.1%)","23.4 ms (0.9%)","25"
"org.openqa.selenium.remote.RemoteWebDriver.execute (String, java.util.Map)","0.078 ms (0%)","0.0 ms (0%)","2,043 ms (0.2%)","23.4 ms (0.9%)","34"
"org.openqa.selenium.remote.RemoteWebDriver.getPageSource ()","0.096 ms (0%)","0.0 ms (0%)","639 ms (0.1%)","23.4 ms (0.9%)","25"
"plugin.AppiumPlugin.getCapture ()","0.141 ms (0%)","0.0 ms (0%)","13,460 ms (1.4%)","23.4 ms (0.9%)","29"
"plugin.AppiumPlugin.updateCapture ()","0.068 ms (0%)","0.0 ms (0%)","13,460 ms (1.4%)","23.4 ms (0.9%)","29"
"plugin.StateGraph.paintCapture (java.awt.Graphics)","1.95 ms (0%)","0.0 ms (0%)","94.8 ms (0%)","21.5 ms (0.8%)","1,615"
"org.openqa.selenium.remote.http.HttpRequest.addHeader (String, String)","0.160 ms (0%)","0.0 ms (0%)","1.41 ms (0%)","15.6 ms (0.6%)","3,216"
"org.openqa.selenium.remote.http.HttpMessage.addHeader (String, String)","3.17 ms (0%)","15.6 ms (1.1%)","4.11 ms (0%)","15.6 ms (0.6%)","10,731"
"org.openqa.selenium.json.Input.fill ()","85.4 ms (0%)","15.6 ms (1.1%)","85.4 ms (0%)","15.6 ms (0.6%)","3,187,914"
"org.openqa.selenium.remote.http.HttpRequest.setHeader (String, String)","0.232 ms (0%)","0.0 ms (0%)","5.15 ms (0%)","15.6 ms (0.6%)","2,155"
"org.openqa.selenium.remote.http.HttpMessage.forEachHeader (java.util.function.BiConsumer)","1.37 ms (0%)","15.6 ms (1.1%)","8.91 ms (0%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.remote.http.HttpMessage.setHeader (String, String)","0.547 ms (0%)","0.0 ms (0%)","4.80 ms (0%)","15.6 ms (0.6%)","2,155"
"org.openqa.selenium.json.Input.peek ()","4.59 ms (0%)","0.0 ms (0%)","7.6 ms (0%)","15.6 ms (0.6%)","106,142"
"org.openqa.selenium.remote.http.HttpRequest.forEachHeader (java.util.function.BiConsumer)","0.268 ms (0%)","0.0 ms (0%)","9.26 ms (0%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createRequest (org.openqa.selenium.remote.http.HttpRequest, org.openqa.selenium.remote.http.HttpMethod, java.net.URI)","15.6 ms (0%)","0.0 ms (0%)","27.3 ms (0%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.json.JsonInput.peek ()","3.30 ms (0%)","0.0 ms (0%)","14.3 ms (0%)","15.6 ms (0.6%)","29,443"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","88,899 ms (39.3%)","0.0 ms (0%)","88,954 ms (9.4%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.json.JsonOutput.asString (Object)","0.386 ms (0%)","15.6 ms (1.1%)","0.517 ms (0%)","15.6 ms (0.6%)","86"
"org.openqa.selenium.json.JsonInput.expect (org.openqa.selenium.json.JsonType)","1.15 ms (0%)","15.6 ms (1.1%)","4.79 ms (0%)","15.6 ms (0.6%)","7,775"
"org.openqa.selenium.remote.http.Filter.lambda$andFinally$1 (org.openqa.selenium.remote.http.HttpHandler, org.openqa.selenium.remote.http.HttpRequest)","2.71 ms (0%)","0.0 ms (0%)","88,963 ms (9.4%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.775 ms (0%)","0.0 ms (0%)","88,964 ms (9.4%)","15.6 ms (0.6%)","1,072"
"org.openqa.selenium.json.JsonInput.beginObject ()","1.6 ms (0%)","0.0 ms (0%)","2.28 ms (0%)","15.5 ms (0.6%)","1,593"
"org.openqa.selenium.json.JsonOutput.lambda$new$3 (Object, int, int)","0.011 ms (0%)","0.0 ms (0%)","0.139 ms (0%)","15.5 ms (0.6%)","34"
"org.openqa.selenium.remote.http.HttpMessage.getContentEncoding ()","10.5 ms (0%)","15.6 ms (1.1%)","21.0 ms (0%)","15.5 ms (0.6%)","1,072"
"org.openqa.selenium.remote.http.HttpResponse.getContentEncoding ()","0.324 ms (0%)","0.0 ms (0%)","21.4 ms (0%)","15.5 ms (0.6%)","1,072"
"org.openqa.selenium.json.JsonOutput.lambda$new$24 (int, int, Object, Object)","0.028 ms (0%)","0.0 ms (0%)","3.42 ms (0%)","15.5 ms (0.6%)","52"
"org.openqa.selenium.remote.http.Contents.string (org.openqa.selenium.remote.http.HttpMessage)","0.780 ms (0%)","0.0 ms (0%)","27.4 ms (0%)","15.5 ms (0.6%)","1,072"
"org.openqa.selenium.json.JsonOutput.lambda$new$25 (Object, int, int)","0.365 ms (0%)","0.0 ms (0%)","4.2 ms (0%)","15.5 ms (0.6%)","23"
"org.openqa.selenium.json.Input.read ()","160 ms (0.1%)","15.5 ms (1.1%)","244 ms (0%)","15.4 ms (0.6%)","3,081,772"
"org.openqa.selenium.json.JsonOutput.write0 (Object, int, int)","1.24 ms (0%)","0.0 ms (0%)","5.71 ms (0%)","15.4 ms (0.6%)","75"
"org.openqa.selenium.json.JsonOutput.write (Object, int)","0.010 ms (0%)","0.0 ms (0%)","5.73 ms (0%)","15.4 ms (0.6%)","11"
"org.openqa.selenium.json.Json.toJson (Object, int)","0.068 ms (0%)","0.0 ms (0%)","10.8 ms (0%)","15.4 ms (0.6%)","11"
"org.openqa.selenium.json.Json.toJson (Object)","0.006 ms (0%)","0.0 ms (0%)","10.8 ms (0%)","15.4 ms (0.6%)","11"
"org.openqa.selenium.json.JsonInput.readString ()","126 ms (0.1%)","0.0 ms (0%)","373 ms (0%)","15.4 ms (0.6%)","4,569"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","6.64 ms (0%)","15.4 ms (1.1%)","6.64 ms (0%)","15.4 ms (0.6%)","277,097"
"org.openqa.selenium.json.JsonInput.nextName ()","0.525 ms (0%)","0.0 ms (0%)","7.9 ms (0%)","15.2 ms (0.6%)","2,300"
