"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getVisibleWidgets ()","1.98 ms (0%)","0.0 ms (0%)","1.98 ms (0%)","0.0 ms (0%)","5,963"
"com.symatiq.states.AppState.containsProductVersion (String)","0.810 ms (0%)","0.0 ms (0%)","0.810 ms (0%)","0.0 ms (0%)","8,861"
"com.symatiq.states.AppState.getUniqueId ()","1.18 ms (0%)","0.0 ms (0%)","1.18 ms (0%)","0.0 ms (0%)","154"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","1.97 ms (0%)","0.0 ms (0%)","2.87 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.003 ms (0%)","0.0 ms (0%)","0.012 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","1.58 ms (0%)","0.0 ms (0%)","1.58 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.011 ms (0%)","0.0 ms (0%)","0.237 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.states.AppState.coveredPagesPercent (String)","0.366 ms (0%)","0.0 ms (0%)","4.83 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","1.81 ms (0%)","0.0 ms (0%)","4.46 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.022 ms (0%)","0.0 ms (0%)","0.022 ms (0%)","0.0 ms (0%)","5"
"com.symatiq.states.AppState.containIssues ()","0.413 ms (0%)","0.0 ms (0%)","1.32 ms (0%)","0.0 ms (0%)","2,034"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addProductVersion (String)","0.001 ms (0%)","0.0 ms (0%)","0.059 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getStateCount ()","0.005 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.113 ms (0%)","0.0 ms (0%)","0.113 ms (0%)","0.0 ms (0%)","493"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.008 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getCurrentPath ()","0.007 ms (0%)","0.0 ms (0%)","0.007 ms (0%)","0.0 ms (0%)","5"
"com.symatiq.states.AppState.getAllWidgets ()","3.31 ms (0%)","0.0 ms (0%)","3.31 ms (0%)","0.0 ms (0%)","5,180"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","0.885 ms (0%)","0.0 ms (0%)","3.75 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.coveredPercent (String)","0.333 ms (0%)","0.0 ms (0%)","4.9 ms (0%)","0.0 ms (0%)","1,779"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.065 ms (0%)","0.0 ms (0%)","0.178 ms (0%)","0.0 ms (0%)","9"
"com.symatiq.states.AppState.isHome ()","0.421 ms (0%)","0.0 ms (0%)","0.421 ms (0%)","0.0 ms (0%)","2,348"
"com.symatiq.states.AppState.getIssues ()","0.913 ms (0%)","0.0 ms (0%)","0.913 ms (0%)","0.0 ms (0%)","2,034"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.054 ms (0%)","0.0 ms (0%)","0.054 ms (0%)","0.0 ms (0%)","9"
"com.symatiq.states.AppState.getVisibleActions ()","2.97 ms (0%)","0.0 ms (0%)","2.97 ms (0%)","0.0 ms (0%)","5,912"
