"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,266 ms (0.7%)","781 ms (65.9%)","1,266 ms (0.2%)","781 ms (38.6%)","46"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","174 ms (0.1%)","109 ms (9.2%)","174 ms (0%)","109 ms (5.4%)","8"
"org.openqa.selenium.remote.HttpCommandExecutor.execute (org.openqa.selenium.remote.Command)","5.0 ms (0%)","0.0 ms (0%)","77,547 ms (9.5%)","96.9 ms (4.8%)","1,132"
"org.openqa.selenium.remote.RemoteWebDriver.execute (org.openqa.selenium.remote.CommandPayload)","13.0 ms (0%)","0.0 ms (0%)","77,563 ms (9.5%)","96.8 ms (4.8%)","1,132"
"org.openqa.selenium.remote.RemoteWebElement.execute (org.openqa.selenium.remote.CommandPayload)","0.344 ms (0%)","0.0 ms (0%)","74,867 ms (9.2%)","88.9 ms (4.4%)","1,094"
"org.openqa.selenium.remote.RemoteWebElement.getAttribute (String)","0.875 ms (0%)","0.0 ms (0%)","63,901 ms (7.8%)","88.9 ms (4.4%)","941"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","8.19 ms (0%)","0.0 ms (0%)","74,886 ms (9.2%)","83.5 ms (4.1%)","62"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","77,062 ms (40.1%)","46.8 ms (4%)","77,118 ms (9.5%)","62.0 ms (3.1%)","1,132"
"org.openqa.selenium.remote.http.Filter.lambda$andFinally$1 (org.openqa.selenium.remote.http.HttpHandler, org.openqa.selenium.remote.http.HttpRequest)","2.78 ms (0%)","0.0 ms (0%)","77,127 ms (9.5%)","61.8 ms (3.1%)","1,132"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.782 ms (0%)","0.0 ms (0%)","77,128 ms (9.5%)","61.8 ms (3.1%)","1,132"
"plugin.AppiumPlugin.createWidgetFromElement (org.openqa.selenium.WebElement, String, String, String, String, String, String)","4.67 ms (0%)","0.0 ms (0%)","12,362 ms (1.5%)","45.7 ms (2.3%)","95"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.encode (org.openqa.selenium.remote.Command)","2.72 ms (0%)","0.0 ms (0%)","22.9 ms (0%)","31.2 ms (1.5%)","1,132"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.encode (org.openqa.selenium.remote.Command)","0.202 ms (0%)","0.0 ms (0%)","23.2 ms (0%)","31.2 ms (1.5%)","1,132"
"com.symatiq.widgets.Widget.compareTo (Object)","169 ms (0.1%)","39.2 ms (3.3%)","236 ms (0%)","30.7 ms (1.5%)","2,161,691"
"com.symatiq.states.StateController.getRecommendedWidget ()","48.5 ms (0%)","29.7 ms (2.5%)","48.5 ms (0%)","29.7 ms (1.5%)","2,161,691"
"com.symatiq.widgets.Widget.getArea ()","18.8 ms (0%)","23.3 ms (2%)","18.8 ms (0%)","23.3 ms (1.2%)","812,738"
"org.openqa.selenium.net.Urls.urlEncode (String)","1.37 ms (0%)","15.6 ms (1.3%)","1.37 ms (0%)","15.6 ms (0.8%)","2,035"
"org.openqa.selenium.remote.http.HttpMessage.lambda$addHeader$8 (String)","0.356 ms (0%)","15.6 ms (1.3%)","0.356 ms (0%)","15.6 ms (0.8%)","11,330"
"org.openqa.selenium.remote.http.HttpRequest.addHeader (String, String)","0.185 ms (0%)","0.0 ms (0%)","1.39 ms (0%)","15.6 ms (0.8%)","3,396"
"org.openqa.selenium.remote.http.HttpMessage.addHeader (String, String)","3.11 ms (0%)","0.0 ms (0%)","4.13 ms (0%)","15.6 ms (0.8%)","11,330"
"org.openqa.selenium.remote.http.HttpMessage.setHeader (String, String)","0.545 ms (0%)","0.0 ms (0%)","4.72 ms (0%)","15.6 ms (0.8%)","2,274"
"org.openqa.selenium.remote.http.HttpRequest.setHeader (String, String)","0.316 ms (0%)","0.0 ms (0%)","5.19 ms (0%)","15.6 ms (0.8%)","2,274"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.getParameter (String, String, org.openqa.selenium.remote.SessionId, java.util.Map)","2.2 ms (0%)","0.0 ms (0%)","4.0 ms (0%)","15.6 ms (0.8%)","3,167"
"org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.buildUri (String, org.openqa.selenium.remote.SessionId, java.util.Map, org.openqa.selenium.remote.codec.AbstractHttpCommandCodec.CommandSpec)","2.32 ms (0%)","0.0 ms (0%)","6.42 ms (0%)","15.6 ms (0.8%)","1,132"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createResponse (java.net.http.HttpResponse)","7.68 ms (0%)","15.6 ms (1.3%)","21.6 ms (0%)","15.6 ms (0.8%)","1,132"
