"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","2,817 ms (0.5%)","1,453 ms (55.9%)","2,817 ms (0.2%)","1,453 ms (46.4%)","112"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","636 ms (0.1%)","281 ms (10.8%)","636 ms (0%)","281 ms (9%)","30"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","111 ms (0%)","146 ms (5.6%)","2,563 ms (0.2%)","0.0 ms (0%)","1,656,214"
"com.symatiq.states.StateController.getRecommendedWidget ()","359 ms (0.1%)","125 ms (4.8%)","359 ms (0%)","125 ms (4%)","18,841,787"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","463 ms (0.1%)","61.5 ms (2.4%)","463 ms (0%)","61.5 ms (2%)","9,557"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","671 ms (0.1%)","58.0 ms (2.2%)","2,452 ms (0.2%)","41.1 ms (1.3%)","818,645"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","9.52 ms (0%)","52.9 ms (2%)","26.2 ms (0%)","44.7 ms (1.4%)","107,173"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","133 ms (0%)","45.9 ms (1.8%)","133 ms (0%)","45.9 ms (1.5%)","9,272"
"com.symatiq.widgets.Widget.compareTo (Object)","1,261 ms (0.2%)","38.7 ms (1.5%)","1,750 ms (0.1%)","50.5 ms (1.6%)","18,841,787"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","30.0 ms (0%)","37.5 ms (1.4%)","30.0 ms (0%)","37.5 ms (1.2%)","1,430,507"
"com.symatiq.widgets.Widget.getArea ()","129 ms (0%)","33.6 ms (1.3%)","129 ms (0%)","33.6 ms (1.1%)","6,548,422"
"com.symatiq.Scout.getScaledX (int)","52.2 ms (0%)","31.2 ms (1.2%)","52.2 ms (0%)","31.2 ms (1%)","4,964"
"plugin.StateGraph.drawText (java.awt.Graphics2D, String, int, int)","34.5 ms (0%)","30.7 ms (1.2%)","34.5 ms (0%)","30.7 ms (1%)","4,751"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.966 ms (0%)","15.6 ms (0.6%)","98,539 ms (6.2%)","46.3 ms (1.5%)","1,290"
"org.openqa.selenium.remote.http.HttpResponse.getHeader (String)","0.313 ms (0%)","15.6 ms (0.6%)","12.5 ms (0%)","15.6 ms (0.5%)","2,580"
