"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","4.97 ms (0%)","0.0 ms (0%)","1,175 ms (0.1%)","28.2 ms (0.9%)","31,845"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","1.25 ms (0%)","0.0 ms (0%)","1.25 ms (0%)","0.0 ms (0%)","6,706"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","0.356 ms (0%)","0.0 ms (0%)","0.456 ms (0%)","0.0 ms (0%)","37"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.017 ms (0%)","0.0 ms (0%)","0.559 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.states.AppState.getMetadata (String)","3.31 ms (0%)","0.0 ms (0%)","3.31 ms (0%)","0.0 ms (0%)","48,502"
"com.symatiq.states.AppState.containsProductVersion (String)","3.16 ms (0%)","0.0 ms (0%)","3.16 ms (0%)","0.0 ms (0%)","73,514"
"com.symatiq.states.AppState.getUniqueId ()","2.37 ms (0%)","0.0 ms (0%)","2.37 ms (0%)","0.0 ms (0%)","557"
"com.symatiq.states.AppState.addProductVersion (String)","0.002 ms (0%)","0.0 ms (0%)","0.011 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getStateCount ()","0.014 ms (0%)","0.0 ms (0%)","0.060 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.615 ms (0%)","0.0 ms (0%)","0.615 ms (0%)","0.0 ms (0%)","3,579"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.010 ms (0%)","0.0 ms (0%)","0.010 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getCurrentPath ()","0.013 ms (0%)","0.0 ms (0%)","0.013 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.states.AppState.getAllWidgets ()","11.8 ms (0%)","0.0 ms (0%)","11.8 ms (0%)","0.0 ms (0%)","16,337"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","6.81 ms (0%)","0.0 ms (0%)","10.6 ms (0%)","0.0 ms (0%)","5,445"
"com.symatiq.states.AppState.getLeafCount ()","2.11 ms (0%)","0.0 ms (0%)","42.4 ms (0%)","0.0 ms (0%)","18,791"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","9.82 ms (0%)","0.0 ms (0%)","40.3 ms (0%)","0.0 ms (0%)","49,579"
"com.symatiq.states.AppState.getVisibleActions ()","39.8 ms (0%)","0.0 ms (0%)","39.8 ms (0%)","0.0 ms (0%)","79,266"
"com.symatiq.states.AppState.containIssues ()","1.85 ms (0%)","0.0 ms (0%)","6.44 ms (0%)","0.0 ms (0%)","21,334"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.083 ms (0%)","0.0 ms (0%)","0.083 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.022 ms (0%)","0.0 ms (0%)","0.045 ms (0%)","0.0 ms (0%)","6"
"com.symatiq.states.AppState.coveredPercent (String)","1.18 ms (0%)","0.0 ms (0%)","18.5 ms (0%)","0.0 ms (0%)","5,445"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","2.48 ms (0%)","0.0 ms (0%)","18.4 ms (0%)","0.0 ms (0%)","6,249"
