"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","7.21 ms (0%)","0.0 ms (0%)","1,236 ms (0.1%)","0.0 ms (0%)","34,821"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","1.1 ms (0%)","0.0 ms (0%)","1.47 ms (0%)","0.0 ms (0%)","75"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.015 ms (0%)","0.0 ms (0%)","1.59 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.008 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","10"
"com.symatiq.states.AppState.getVisibleWidgets ()","19.2 ms (0%)","0.0 ms (0%)","19.2 ms (0%)","0.0 ms (0%)","61,686"
"com.symatiq.states.AppState.containsProductVersion (String)","3.66 ms (0%)","0.0 ms (0%)","3.66 ms (0%)","0.0 ms (0%)","92,178"
"com.symatiq.states.AppState.getUniqueId ()","2.35 ms (0%)","0.0 ms (0%)","2.35 ms (0%)","0.0 ms (0%)","472"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","6.90 ms (0%)","0.0 ms (0%)","10.5 ms (0%)","0.0 ms (0%)","5,528"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.003 ms (0%)","0.0 ms (0%)","0.030 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.038 ms (0%)","0.0 ms (0%)","1.19 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","7.7 ms (0%)","0.0 ms (0%)","7.7 ms (0%)","0.0 ms (0%)","5,528"
"com.symatiq.states.AppState.coveredPagesPercent (String)","1.17 ms (0%)","0.0 ms (0%)","26.6 ms (0%)","0.0 ms (0%)","5,528"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","5.80 ms (0%)","0.0 ms (0%)","25.4 ms (0%)","0.0 ms (0%)","5,528"
