"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","223 ms (0.3%)","115 ms (20.3%)","716 ms (0.5%)","88.1 ms (11.6%)","188,905"
"com.symatiq.states.StateController.getRecommendedWidget ()","120 ms (0.1%)","91.8 ms (16.1%)","120 ms (0.1%)","91.8 ms (12%)","6,354,100"
"com.symatiq.widgets.Widget.compareTo (Object)","362 ms (0.4%)","84.2 ms (14.8%)","486 ms (0.3%)","76.6 ms (10%)","6,354,100"
"com.symatiq.Scout$2.getPreferredSize ()","331 ms (0.4%)","78.1 ms (13.7%)","331 ms (0.2%)","78.1 ms (10.2%)","36"
"plugin.WidgetIdentifier.isSelectWidget (com.symatiq.widgets.Widget)","0.475 ms (0%)","30.1 ms (5.3%)","0.697 ms (0%)","29.4 ms (3.9%)","3,540"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","25.4 ms (0%)","29.9 ms (5.2%)","742 ms (0.5%)","0.0 ms (0%)","380,363"
"org.openqa.selenium.interactions.Actions.getActivePointer ()","0.279 ms (0%)","15.6 ms (2.7%)","1.69 ms (0%)","15.6 ms (2%)","15"
"org.openqa.selenium.json.JsonInput.skipWhitespace (org.openqa.selenium.json.Input)","0.997 ms (0%)","15.6 ms (2.7%)","2.57 ms (0%)","15.5 ms (2%)","8,309"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","8.64 ms (0%)","15.5 ms (2.7%)","8.64 ms (0%)","15.5 ms (2%)","622"
"com.symatiq.widgets.Widget.getArea ()","3.17 ms (0%)","15.5 ms (2.7%)","3.17 ms (0%)","15.5 ms (2%)","167,454"
"com.symatiq.gui.Toolbar.drawTextRectangle (java.awt.Graphics2D, String, int, int, int, int, java.awt.Color, java.awt.Color, java.awt.Color, java.awt.Color)","10.1 ms (0%)","15.5 ms (2.7%)","10.3 ms (0%)","15.3 ms (2%)","330"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","3.33 ms (0%)","14.9 ms (2.6%)","50.7 ms (0%)","10.4 ms (1.4%)","1,716"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","5.55 ms (0%)","14.5 ms (2.6%)","5.55 ms (0%)","14.5 ms (1.9%)","276,991"
"org.openqa.selenium.json.Input.read ()","214 ms (0.3%)","13.9 ms (2.4%)","303 ms (0.2%)","13.0 ms (1.7%)","4,492,052"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","23.9 ms (0%)","13.0 ms (2.3%)","36.9 ms (0%)","11.8 ms (1.6%)","501,947"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","22.4 ms (0%)","5.27 ms (0.9%)","66.0 ms (0%)","9.71 ms (1.3%)","3,110"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.078 ms (0%)","0.0 ms (0%)","758 ms (0.5%)","13.9 ms (1.8%)","5"
"plugin.SeleniumPlugin.getCapture ()","0.041 ms (0%)","0.0 ms (0%)","3,954 ms (2.6%)","0.0 ms (0%)","20"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","0.909 ms (0%)","0.0 ms (0%)","0.909 ms (0%)","0.0 ms (0%)","1,251"
"plugin.SeleniumPlugin.changeState ()","0.007 ms (0%)","0.0 ms (0%)","0.016 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.006 ms (0%)","0.0 ms (0%)","1.47 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.012 ms (0%)","0.0 ms (0%)","103 ms (0.1%)","0.0 ms (0%)","23"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.685 ms (0%)","0.0 ms (0%)","724 ms (0.5%)","15.3 ms (2%)","5"
"plugin.SeleniumPlugin.getSeleniumCapture ()","112 ms (0.1%)","0.0 ms (0%)","1,970 ms (1.3%)","0.0 ms (0%)","20"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","2.17 ms (0%)","0.0 ms (0%)","3.90 ms (0%)","0.0 ms (0%)","14,711"
"plugin.SeleniumPlugin.object2Long (Object)","1.3 ms (0%)","0.0 ms (0%)","1.3 ms (0%)","0.0 ms (0%)","33,780"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.175 ms (0%)","0.0 ms (0%)","0.195 ms (0%)","0.0 ms (0%)","20"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","0.794 ms (0%)","0.0 ms (0%)","2.26 ms (0%)","0.0 ms (0%)","1,456"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","3.29 ms (0%)","0.0 ms (0%)","3.58 ms (0%)","0.0 ms (0%)","3,109"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","12.9 ms (0%)","0.0 ms (0%)","12.9 ms (0%)","0.0 ms (0%)","501,947"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.050 ms (0%)","0.0 ms (0%)","103 ms (0.1%)","0.0 ms (0%)","23"
"plugin.SeleniumPlugin.object2String (Object)","3.85 ms (0%)","0.0 ms (0%)","3.85 ms (0%)","0.0 ms (0%)","143,565"
"plugin.SeleniumPlugin.isValidText (String)","0.895 ms (0%)","0.0 ms (0%)","0.895 ms (0%)","0.0 ms (0%)","19,374"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","0.965 ms (0%)","0.0 ms (0%)","0.965 ms (0%)","0.0 ms (0%)","18,965"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.003 ms (0%)","0.0 ms (0%)","0.155 ms (0%)","0.0 ms (0%)","10"
"plugin.SeleniumPlugin.loadCookiesForCurrentState ()","0.003 ms (0%)","0.0 ms (0%)","0.006 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.124 ms (0%)","0.0 ms (0%)","3,954 ms (2.6%)","0.0 ms (0%)","20"
"plugin.SeleniumPlugin.getAvailableWidgets ()","26.3 ms (0%)","0.0 ms (0%)","1,981 ms (1.3%)","0.0 ms (0%)","20"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.147 ms (0%)","0.0 ms (0%)","1.12 ms (0%)","0.0 ms (0%)","19"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.118 ms (0%)","0.0 ms (0%)","0.678 ms (0%)","0.0 ms (0%)","131"
"org.openqa.selenium.logging.LoggingHandler.close ()","0.143 ms (0%)","0.0 ms (0%)","0.143 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.085 ms (0%)","0.0 ms (0%)","2.28 ms (0%)","0.0 ms (0%)","85"
"org.openqa.selenium.json.CollectionCoercer.test (Class)","0.002 ms (0%)","0.0 ms (0%)","0.002 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.apply (java.lang.reflect.Type)","0.131 ms (0%)","0.0 ms (0%)","0.131 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.018 ms (0%)","0.0 ms (0%)","3.36 ms (0%)","5.73 ms (0.8%)","108"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.330 ms (0%)","0.0 ms (0%)","3.90 ms (0%)","5.26 ms (0.7%)","18"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.088 ms (0%)","0.0 ms (0%)","0.303 ms (0%)","0.0 ms (0%)","194"
"com.symatiq.actions.MoveAction.clone (com.symatiq.actions.MoveAction)","0.412 ms (0%)","0.0 ms (0%)","2.43 ms (0%)","0.0 ms (0%)","3,314"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","1.16 ms (0%)","0.0 ms (0%)","493 ms (0.3%)","4.65 ms (0.6%)","2,129"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$7 (java.util.function.BiFunction)","0.102 ms (0%)","0.0 ms (0%)","0.102 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$5 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.003 ms (0%)","0.0 ms (0%)","0.135 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$4 (java.lang.reflect.Type, org.openqa.selenium.json.TypeCoercer)","0.030 ms (0%)","0.0 ms (0%)","0.070 ms (0%)","0.0 ms (0%)","16"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","1.70 ms (0%)","0.0 ms (0%)","495 ms (0.3%)","4.65 ms (0.6%)","2,129"
"org.openqa.selenium.json.JsonTypeCoercer.buildCoercer (java.lang.reflect.Type)","0.592 ms (0%)","0.0 ms (0%)","0.900 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.477 ms (0%)","0.0 ms (0%)","0.477 ms (0%)","0.0 ms (0%)","489"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.010 ms (0%)","0.0 ms (0%)","0.846 ms (0%)","0.0 ms (0%)","10"
