"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.widgets.Widget.compareTo (Object)","385 ms (0.5%)","272 ms (29.4%)","511 ms (0.4%)","339 ms (21.2%)","6,731,903"
"com.symatiq.states.StateController.getRecommendedWidget ()","121 ms (0.2%)","160 ms (17.3%)","121 ms (0.1%)","160 ms (10%)","6,731,903"
"com.symatiq.Scout$2.getPreferredSize ()","298 ms (0.4%)","156 ms (16.8%)","298 ms (0.2%)","156 ms (9.8%)","36"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","234 ms (0.3%)","153 ms (16.5%)","752 ms (0.6%)","369 ms (23.1%)","193,642"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","5.46 ms (0%)","30.8 ms (3.3%)","5.46 ms (0%)","30.8 ms (1.9%)","285,031"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","192 ms (0.3%)","30.2 ms (3.3%)","1,228 ms (0.9%)","0.0 ms (0%)","575"
"org.openqa.selenium.OutputType$3.save (byte[])","11.6 ms (0%)","15.6 ms (1.7%)","11.6 ms (0%)","15.6 ms (1%)","19"
"org.openqa.selenium.json.Input.fill ()","85.8 ms (0.1%)","15.6 ms (1.7%)","85.8 ms (0.1%)","15.6 ms (1%)","4,327,206"
"plugin.StateGraph.drawText (java.awt.Graphics2D, String, int, int)","10.8 ms (0%)","15.5 ms (1.7%)","10.8 ms (0%)","15.5 ms (1%)","575"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","31.5 ms (0%)","15.5 ms (1.7%)","31.5 ms (0%)","15.5 ms (1%)","1,861"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","0.522 ms (0%)","15.5 ms (1.7%)","2.47 ms (0%)","14.4 ms (0.9%)","576"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","44.5 ms (0.1%)","15.5 ms (1.7%)","44.5 ms (0%)","15.5 ms (1%)","1,151"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","45.4 ms (0.1%)","15.4 ms (1.7%)","46.1 ms (0%)","14.4 ms (0.9%)","273"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","32.2 ms (0%)","14.0 ms (1.5%)","1,018 ms (0.7%)","0.0 ms (0%)","6,325"
"org.openqa.selenium.json.JsonInput.readEscape (StringBuilder)","15.8 ms (0%)","1.43 ms (0.2%)","35.6 ms (0%)","0.0 ms (0%)","305,345"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.085 ms (0%)","0.0 ms (0%)","775 ms (0.6%)","12.9 ms (0.8%)","5"
"plugin.SeleniumPlugin.getCapture ()","0.041 ms (0%)","0.0 ms (0%)","2,849 ms (2.1%)","0.0 ms (0%)","19"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","0.779 ms (0%)","0.0 ms (0%)","0.779 ms (0%)","0.0 ms (0%)","1,201"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","25.4 ms (0%)","0.0 ms (0%)","39.4 ms (0%)","0.0 ms (0%)","483,159"
"plugin.SeleniumPlugin.changeState ()","0.008 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.005 ms (0%)","0.0 ms (0%)","1.55 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.141 ms (0%)","0.0 ms (0%)","1.21 ms (0%)","0.0 ms (0%)","18"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.006 ms (0%)","0.0 ms (0%)","0.162 ms (0%)","0.0 ms (0%)","10"
"plugin.SeleniumPlugin.loadCookiesForCurrentState ()","0.004 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.getAvailableWidgets ()","26.2 ms (0%)","0.0 ms (0%)","1,720 ms (1.3%)","0.0 ms (0%)","19"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.118 ms (0%)","0.0 ms (0%)","2,849 ms (2.1%)","0.0 ms (0%)","19"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.011 ms (0%)","0.0 ms (0%)","93.0 ms (0.1%)","0.0 ms (0%)","21"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","2.3 ms (0%)","0.0 ms (0%)","4.3 ms (0%)","0.0 ms (0%)","14,161"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.893 ms (0%)","0.0 ms (0%)","740 ms (0.5%)","0.0 ms (0%)","5"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","0.775 ms (0%)","0.0 ms (0%)","2.3 ms (0%)","0.0 ms (0%)","1,382"
"plugin.SeleniumPlugin.object2String (Object)","3.64 ms (0%)","0.0 ms (0%)","3.64 ms (0%)","0.0 ms (0%)","136,357"
"plugin.SeleniumPlugin.getSeleniumCapture ()","70.7 ms (0.1%)","0.0 ms (0%)","1,126 ms (0.8%)","0.0 ms (0%)","19"
"plugin.SeleniumPlugin.isValidText (String)","0.866 ms (0%)","0.0 ms (0%)","0.866 ms (0%)","0.0 ms (0%)","18,609"
"plugin.SeleniumPlugin.object2Long (Object)","0.984 ms (0%)","0.0 ms (0%)","0.984 ms (0%)","0.0 ms (0%)","32,084"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","3.28 ms (0%)","0.0 ms (0%)","3.62 ms (0%)","0.0 ms (0%)","2,992"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.201 ms (0%)","0.0 ms (0%)","0.218 ms (0%)","0.0 ms (0%)","19"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","22.5 ms (0%)","0.0 ms (0%)","68.6 ms (0.1%)","0.0 ms (0%)","2,993"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","0.883 ms (0%)","0.0 ms (0%)","0.883 ms (0%)","0.0 ms (0%)","18,246"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","14.0 ms (0%)","0.0 ms (0%)","14.0 ms (0%)","0.0 ms (0%)","483,159"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.047 ms (0%)","0.0 ms (0%)","93.0 ms (0.1%)","0.0 ms (0%)","21"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.181 ms (0%)","0.0 ms (0%)","0.747 ms (0%)","0.0 ms (0%)","117"
