"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","23.0 ms (0%)","0.0 ms (0%)","69.9 ms (0%)","0.0 ms (0%)","3,414"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","13.8 ms (0%)","0.0 ms (0%)","13.8 ms (0%)","0.0 ms (0%)","526,574"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.212 ms (0%)","0.0 ms (0%)","0.232 ms (0%)","0.0 ms (0%)","23"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","3.10 ms (0%)","0.0 ms (0%)","3.39 ms (0%)","0.0 ms (0%)","3,414"
"plugin.SeleniumPlugin.isValidText (String)","0.940 ms (0%)","0.0 ms (0%)","0.940 ms (0%)","0.0 ms (0%)","21,332"
"plugin.SeleniumPlugin.object2String (Object)","3.99 ms (0%)","0.0 ms (0%)","3.99 ms (0%)","0.0 ms (0%)","155,907"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.046 ms (0%)","0.0 ms (0%)","243 ms (0.2%)","0.0 ms (0%)","21"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.107 ms (0%)","0.0 ms (0%)","0.649 ms (0%)","0.0 ms (0%)","117"
"org.openqa.selenium.logging.LoggingHandler.close ()","0.010 ms (0%)","0.0 ms (0%)","0.010 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.050 ms (0%)","0.0 ms (0%)","2.79 ms (0%)","0.0 ms (0%)","91"
"org.openqa.selenium.json.CollectionCoercer.test (Class)","0.003 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.apply (java.lang.reflect.Type)","0.121 ms (0%)","0.0 ms (0%)","0.121 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.015 ms (0%)","0.0 ms (0%)","2.86 ms (0%)","0.0 ms (0%)","96"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$1 (java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.267 ms (0%)","0.0 ms (0%)","3.27 ms (0%)","0.0 ms (0%)","16"
