"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","865 ms (0.5%)","343 ms (29.6%)","865 ms (0.3%)","343 ms (38.9%)","88"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","579 ms (0.3%)","193 ms (16.6%)","1,831 ms (0.6%)","94.1 ms (10.6%)","342,299"
"com.symatiq.widgets.Widget.compareTo (Object)","914 ms (0.5%)","174 ms (15%)","1,240 ms (0.4%)","92.8 ms (10.5%)","14,979,626"
"com.symatiq.states.StateController.getRecommendedWidget ()","317 ms (0.2%)","166 ms (14.4%)","317 ms (0.1%)","166 ms (18.8%)","14,979,626"
"plugin.SeleniumPlugin.getSeleniumCapture ()","238 ms (0.1%)","46.8 ms (4%)","3,572 ms (1.2%)","0.0 ms (0%)","44"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","53.2 ms (0%)","44.3 ms (3.8%)","1,885 ms (0.6%)","0.0 ms (0%)","688,023"
"com.symatiq.actions.Action.getMetadata (String)","7.18 ms (0%)","35.0 ms (3%)","7.18 ms (0%)","35.0 ms (4%)","208,022"
"com.symatiq.utils.QuickSort.exchange (Object[], int, int)","10.9 ms (0%)","30.1 ms (2.6%)","10.9 ms (0%)","30.1 ms (3.4%)","458,025"
"com.symatiq.states.StateController.getCurrentState ()","0.259 ms (0%)","15.5 ms (1.3%)","0.259 ms (0%)","15.5 ms (1.8%)","7,509"
"plugin.utils.Drawing.drawOval (java.awt.Graphics2D, int, int, int, int, java.awt.Color, int, boolean, java.awt.BasicStroke, java.awt.Font)","91.5 ms (0%)","15.4 ms (1.3%)","91.5 ms (0%)","15.4 ms (1.7%)","1,714"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","161 ms (0.1%)","14.1 ms (1.2%)","2,539 ms (0.8%)","0.0 ms (0%)","857"
"plugin.WidgetIdentifier.isFrame (com.symatiq.widgets.Widget)","0.719 ms (0%)","13.8 ms (1.2%)","0.969 ms (0%)","12.9 ms (1.5%)","8,600"
"plugin.WidgetIdentifier.isSelectWidget (com.symatiq.widgets.Widget)","0.954 ms (0%)","12.9 ms (1.1%)","1.50 ms (0%)","11.1 ms (1.3%)","8,600"
"com.symatiq.actions.Action.putMetadata (String, Object)","6.33 ms (0%)","12.8 ms (1.1%)","6.33 ms (0%)","12.8 ms (1.5%)","189,097"
"plugin.SeleniumPlugin.computeDistance (String, String)","25.6 ms (0%)","11.9 ms (1%)","25.6 ms (0%)","11.9 ms (1.4%)","36,455"
"plugin.WidgetIdentifier.isTypeWidget (com.symatiq.widgets.Widget)","1.40 ms (0%)","11.9 ms (1%)","2.23 ms (0%)","9.13 ms (1%)","9,076"
"plugin.WidgetIdentifier.isClickWidget (com.symatiq.widgets.Widget)","1.79 ms (0%)","11.6 ms (1%)","2.70 ms (0%)","24.3 ms (2.8%)","10,018"
"plugin.SeleniumPlugin.matchScore (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget, java.util.List)","4.56 ms (0%)","5.29 ms (0.5%)","54.0 ms (0%)","0.0 ms (0%)","1,817"
"plugin.SeleniumPlugin.performAction (com.symatiq.actions.Action)","0.996 ms (0%)","0.0 ms (0%)","252 ms (0.1%)","0.0 ms (0%)","15"
"plugin.SeleniumPlugin.getCapture ()","0.246 ms (0%)","0.0 ms (0%)","6,120 ms (2%)","0.0 ms (0%)","44"
"plugin.SeleniumPlugin.distance (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget)","48.9 ms (0%)","0.0 ms (0%)","73.6 ms (0%)","0.0 ms (0%)","954,478"
"plugin.SeleniumPlugin.getKeyText (char)","0.040 ms (0%)","0.0 ms (0%)","0.040 ms (0%)","0.0 ms (0%)","6"
"plugin.SeleniumPlugin.isOverlapping (java.util.List, com.symatiq.widgets.Widget)","1.10 ms (0%)","0.0 ms (0%)","1.10 ms (0%)","0.0 ms (0%)","3,724"
"plugin.SeleniumPlugin.changeState ()","0.005 ms (0%)","0.0 ms (0%)","0.010 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.012 ms (0%)","0.0 ms (0%)","2.41 ms (0%)","0.0 ms (0%)","8"
"plugin.SeleniumPlugin.createCaptureAndReplaceWidgets ()","0.234 ms (0%)","0.0 ms (0%)","5,738 ms (1.9%)","0.0 ms (0%)","44"
"plugin.SeleniumPlugin.loadCookiesForCurrentState ()","0.003 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.findBestMatchingWidget (com.symatiq.widgets.Widget, java.util.List)","0.340 ms (0%)","0.0 ms (0%)","54.4 ms (0%)","0.0 ms (0%)","11"
"plugin.SeleniumPlugin.getAvailableWidgets ()","52.6 ms (0%)","0.0 ms (0%)","2,105 ms (0.7%)","0.0 ms (0%)","44"
"plugin.SeleniumPlugin.insertWidgetAfterChange (com.symatiq.widgets.Widget)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.verifyAndReplaceWidgets (java.util.List)","0.500 ms (0%)","0.0 ms (0%)","57.7 ms (0%)","0.0 ms (0%)","44"
"plugin.SeleniumPlugin.checkAllowedToInsert ()","0.003 ms (0%)","0.0 ms (0%)","0.213 ms (0%)","0.0 ms (0%)","17"
"plugin.SeleniumPlugin.performTypeAction (java.awt.Point)","0.025 ms (0%)","0.0 ms (0%)","84.8 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.004 ms (0%)","0.0 ms (0%)","46.3 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.typeSelenium (org.openqa.selenium.WebElement, String)","0.520 ms (0%)","0.0 ms (0%)","49.2 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.784 ms (0%)","0.0 ms (0%)","119 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getScore (String, String, int)","5.71 ms (0%)","0.0 ms (0%)","31.3 ms (0%)","4.33 ms (0.5%)","40,026"
