"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.isValidText (String)","1.34 ms (0%)","0.0 ms (0%)","1.34 ms (0%)","0.0 ms (0%)","25,511"
"plugin.SeleniumPlugin.getPathScore (String, String, int)","0.883 ms (0%)","0.0 ms (0%)","0.883 ms (0%)","0.0 ms (0%)","1,794"
"plugin.SeleniumPlugin.distanceScore (java.awt.Rectangle, java.awt.Rectangle, int, int)","0.155 ms (0%)","0.0 ms (0%)","0.155 ms (0%)","0.0 ms (0%)","1,794"
"plugin.SeleniumPlugin.neighborScore (com.symatiq.states.Neighbor, com.symatiq.states.Neighbor, int)","6.17 ms (0%)","0.0 ms (0%)","45.0 ms (0%)","0.0 ms (0%)","34,238"
"plugin.SeleniumPlugin.compareNeighbors (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget, int)","0.782 ms (0%)","0.0 ms (0%)","47.5 ms (0%)","0.0 ms (0%)","1,794"
"plugin.SeleniumPlugin.object2String (Object)","8.82 ms (0%)","0.0 ms (0%)","8.82 ms (0%)","0.0 ms (0%)","362,950"
"plugin.SeleniumPlugin.object2Long (Object)","2.26 ms (0%)","0.0 ms (0%)","2.26 ms (0%)","0.0 ms (0%)","85,400"
"plugin.SeleniumPlugin.bestNeighborScore (com.symatiq.states.Neighbor, java.util.List, int)","1.50 ms (0%)","0.0 ms (0%)","46.5 ms (0%)","0.0 ms (0%)","9,770"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.12 ms (0%)","0.0 ms (0%)","4.96 ms (0%)","15.4 ms (1.4%)","4,939"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","0.888 ms (0%)","0.0 ms (0%)","0.888 ms (0%)","0.0 ms (0%)","19,066"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","38.8 ms (0%)","0.0 ms (0%)","117 ms (0%)","0.0 ms (0%)","7,124"
