"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.changeState ()","0.005 ms (0%)","0.0 ms (0%)","0.011 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.insertWidget (com.symatiq.widgets.Widget, com.symatiq.states.AppState)","0.016 ms (0%)","0.0 ms (0%)","2.49 ms (0%)","0.0 ms (0%)","9"
"plugin.SeleniumPlugin.matchScore (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget, java.util.List)","3.81 ms (0%)","0.0 ms (0%)","43.8 ms (0%)","0.0 ms (0%)","1,500"
"plugin.SeleniumPlugin.performTypeAction (java.awt.Point)","0.023 ms (0%)","0.0 ms (0%)","54.5 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getVisibleText (com.symatiq.widgets.Widget)","3.26 ms (0%)","0.0 ms (0%)","5.68 ms (0%)","0.0 ms (0%)","21,136"
"plugin.SeleniumPlugin.clickWebElement (org.openqa.selenium.WebElement)","0.772 ms (0%)","0.0 ms (0%)","131 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getScore (String, String, int)","4.36 ms (0%)","0.0 ms (0%)","27.1 ms (0%)","0.0 ms (0%)","28,257"
"plugin.SeleniumPlugin.isButton (String, String, String)","0.080 ms (0%)","0.0 ms (0%)","0.080 ms (0%)","0.0 ms (0%)","1,500"
"plugin.SeleniumPlugin.findWebElement (com.symatiq.widgets.Widget)","0.002 ms (0%)","0.0 ms (0%)","16.9 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.bothContainsValue (String, String)","0.459 ms (0%)","0.0 ms (0%)","0.459 ms (0%)","0.0 ms (0%)","18,000"
"plugin.SeleniumPlugin.getTypeWidget (java.awt.Point, String)","0.004 ms (0%)","0.0 ms (0%)","1.12 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getTypeWidget (java.awt.Point)","0.001 ms (0%)","0.0 ms (0%)","1.21 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.getPathScore (String, String, int)","0.759 ms (0%)","0.0 ms (0%)","0.759 ms (0%)","0.0 ms (0%)","1,500"
"plugin.SeleniumPlugin.typeSelenium (org.openqa.selenium.WebElement, String)","0.457 ms (0%)","0.0 ms (0%)","46.8 ms (0%)","0.0 ms (0%)","1"
"plugin.SeleniumPlugin.object2Long (Object)","2.44 ms (0%)","0.0 ms (0%)","2.44 ms (0%)","0.0 ms (0%)","100,608"
"plugin.SeleniumPlugin.isValidText (String)","1.66 ms (0%)","0.0 ms (0%)","1.66 ms (0%)","0.0 ms (0%)","30,462"
"plugin.SeleniumPlugin.distanceScore (java.awt.Rectangle, java.awt.Rectangle, int, int)","0.139 ms (0%)","0.0 ms (0%)","0.139 ms (0%)","0.0 ms (0%)","1,500"
"plugin.SeleniumPlugin.compareNeighbors (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget, int)","0.730 ms (0%)","0.0 ms (0%)","35.8 ms (0%)","0.0 ms (0%)","1,500"
